Title,Author,Publisher,Week on besteller list,,,,,,,,,,,,,,,,,,,,,,,,,
INSATIABLE APPETITES, by Stuart Woods, Putnam,2/1/15,,,,,,,,,,,,,,,,,,,,,,,,,
STATION ELEVEN, by Emily St John Mandel, Knopf,2/1/15,,,,,,,,,,,,,,,,,,,,,,,,,
BIG LITTLE LIES, by Liane Moriarty, Amy Einhorn/Putnam,2/1/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE EMPTY THRONE, by Bernard Cornwell, Harper,2/1/15,,,,,,,,,,,,,,,,,,,,,,,,,
REVIVAL, by Stephen King, Scribner,2/1/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE GOLDFINCH, by Donna Tartt, Little Brown,2/1/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE GIRL ON THE TRAIN, by Paula Hawkins, Riverhead,2/8/15,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,2/8/15,,,,,,,,,,,,,,,,,,,,,,,,,
SAINT ODD, by Dean Koontz, Bantam,2/8/15,,,,,,,,,,,,,,,,,,,,,,,,,
FIRST FROST, by Sarah Addison Allen, St Martin's,2/8/15,,,,,,,,,,,,,,,,,,,,,,,,,
BURNED, by Karen Marie Moning, Delacorte,2/8/15,,,,,,,,,,,,,,,,,,,,,,,,,
GRAY MOUNTAIN, by John Grisham, Doubleday,2/8/15,,,,,,,,,,,,,,,,,,,,,,,,,/15
THE BOSTON GIRL, by Anita Diamant, Scribner,2/8/15,,,,,,,,,,,,,,,,,,,,,,,,,
HOPE TO DIE, by James Patterson, Little Brown,2/8/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE ESCAPE, by David Baldacci, Grand Central,2/8/15,,,,,,,,,,,,,,,,,,,,,,,,,
BIG LITTLE LIES, by Liane Moriarty, Amy Einhorn/Putnam,2/8/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE FIRST BAD MAN, by Miranda July, Scribner,2/8/15,,,,,,,,,,,,,,,,,,,,,,,,,
COLD COLD HEART, by Tami Hoag, Dutton,2/8/15,,,,,,,,,,,,,,,,,,,,,,,,,
INSATIABLE APPETITES, by Stuart Woods, Putnam,2/8/15,,,,,,,,,,,,,,,,,,,,,,,,,
STATION ELEVEN, by Emily St John Mandel, Knopf,2/8/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE INVENTION OF WINGS, by Sue Monk Kidd, Viking,2/8/15,,,,,,,,,,,,,,,,,,,,,,,,,
REDEPLOYMENT, by Phil Klay, Penguin Press,2/8/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE GIRL ON THE TRAIN, by Paula Hawkins, Riverhead,2/15/15,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,2/15/15,,,,,,,,,,,,,,,,,,,,,,,,,
PRIVATE VEGAS, by James Patterson and Maxine Paetro, Little Brown,2/15/15,,,,,,,,,,,,,,,,,,,,,,,,,
GRAY MOUNTAIN, by John Grisham, Doubleday,2/15/15,,,,,,,,,,,,,,,,,,,,,,,,,
SAINT ODD, by Dean Koontz, Bantam,2/15/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE BOSTON GIRL, by Anita Diamant, Scribner,2/15/15,,,,,,,,,,,,,,,,,,,,,,,,,
FIRST FROST, by Sarah Addison Allen, St Martin's,2/15/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE ESCAPE, by David Baldacci, Grand Central,2/15/15,,,,,,,,,,,,,,,,,,,,,,,,,
BIG LITTLE LIES, by Liane Moriarty, Amy Einhorn/Putnam,2/15/15,,,,,,,,,,,,,,,,,,,,,,,,,
STATION ELEVEN, by Emily St John Mandel, Knopf,2/15/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE MIME ORDER, by Samantha Shannon, Bloomsbury,2/15/15,,,,,,,,,,,,,,,,,,,,,,,,,
HOPE TO DIE, by James Patterson, Little Brown,2/15/15,,,,,,,,,,,,,,,,,,,,,,,,,
COLD COLD HEART, by Tami Hoag, Dutton,2/15/15,,,,,,,,,,,,,,,,,,,,,,,,,
INSATIABLE APPETITES, by Stuart Woods, Putnam,2/15/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE FIRST BAD MAN, by Miranda July, Scribner,2/15/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE INVENTION OF WINGS, by Sue Monk Kidd, Viking,2/15/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE GIRL ON THE TRAIN, by Paula Hawkins, Riverhead,2/22/15,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,2/22/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE NIGHTINGALE, by Kristin Hannah, St Martin's,2/22/15,,,,,,,,,,,,,,,,,,,,,,,,,
TRIGGER WARNING, by Neil Gaiman, Morrow/HarperCollins,2/22/15,,,,,,,,,,,,,,,,,,,,,,,,,
PRIVATE VEGAS, by James Patterson and Maxine Paetro, Little Brown,2/22/15,,,,,,,,,,,,,,,,,,,,,,,,,
GRAY MOUNTAIN, by John Grisham, Doubleday,2/22/15,,,,,,,,,,,,,,,,,,,,,,,,,
CRASH AND BURN, by Lisa Gardner, Dutton,2/22/15,,,,,,,,,,,,,,,,,,,,,,,,,
SAINT ODD, by Dean Koontz, Bantam,2/22/15,,,,,,,,,,,,,,,,,,,,,,,,,
FUNNY GIRL, by Nick Hornby, Riverhead,2/22/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE BOSTON GIRL, by Anita Diamant, Scribner,2/22/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE ESCAPE, by David Baldacci, Grand Central,2/22/15,,,,,,,,,,,,,,,,,,,,,,,,,
FIRST FROST, by Sarah Addison Allen, St Martin's,2/22/15,,,,,,,,,,,,,,,,,,,,,,,,,
BIG LITTLE LIES, by Liane Moriarty, Amy Einhorn/Putnam,2/22/15,,,,,,,,,,,,,,,,,,,,,,,,,
HOPE TO DIE, by James Patterson, Little Brown,2/22/15,,,,,,,,,,,,,,,,,,,,,,,,,
DESCENT, by Tim Johnston, Algonquin,2/22/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE GIRL ON THE TRAIN, by Paula Hawkins, Riverhead,3/1/15,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,3/1/15,,,,,,,,,,,,,,,,,,,,,,,,,
OBSESSION IN DEATH, by J D Robb, Putnam,3/1/15,,,,,,,,,,,,,,,,,,,,,,,,,
A SPOOL OF BLUE THREAD, by Anne Tyler, Knopf,3/1/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE NIGHTINGALE, by Kristin Hannah, St Martin's,3/1/15,,,,,,,,,,,,,,,,,,,,,,,,,
TRIGGER WARNING, by Neil Gaiman, Morrow/HarperCollins,3/1/15,,,,,,,,,,,,,,,,,,,,,,,,,
MOTIVE, by Jonathan Kellerman, Ballantine,3/1/15,,,,,,,,,,,,,,,,,,,,,,,,,
PRIVATE VEGAS, by James Patterson and Maxine Paetro, Little Brown,3/1/15,,,,,,,,,,,,,,,,,,,,,,,,,
GRAY MOUNTAIN, by John Grisham, Doubleday,3/1/15,,,,,,,,,,,,,,,,,,,,,,,,,
TWELVE DAYS, by Alex Berenson, Putnam,3/1/15,,,,,,,,,,,,,,,,,,,,,,,,,
BLOOD INFERNAL, by James Rollins and Rebecca Cantrell, Morrow/HarperCollins,3/1/15,,,,,,,,,,,,,,,,,,,,,,,,,
CRASH AND BURN, by Lisa Gardner, Dutton,3/1/15,,,,,,,,,,,,,,,,,,,,,,,,,
SAINT ODD, by Dean Koontz, Bantam,3/1/15,,,,,,,,,,,,,,,,,,,,,,,,,
FUNNY GIRL, by Nick Hornby, Riverhead,3/1/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE BOSTON GIRL, by Anita Diamant, Scribner,3/1/15,,,,,,,,,,,,,,,,,,,,,,,,,
HOLY COW, by David Duchovny, Farrar Straus & Giroux,3/1/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE GIRL ON THE TRAIN, by Paula Hawkins, Riverhead,3/8/15,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,3/8/15,,,,,,,,,,,,,,,,,,,,,,,,,
A SPOOL OF BLUE THREAD, by Anne Tyler, Knopf,3/8/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE NIGHTINGALE, by Kristin Hannah, St Martin's,3/8/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE WHITES, by Richard Price writing as Harry Brandt, Holt,3/8/15,,,,,,,,,,,,,,,,,,,,,,,,,
OBSESSION IN DEATH, by J D Robb, Putnam,3/8/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE ACCIDENTAL EMPRESS, by Allison Pataki, Howard Books,3/8/15,,,,,,,,,,,,,,,,,,,,,,,,,
DREAMING SPIES, by Laurie R King, Bantam,3/8/15,,,,,,,,,,,,,,,,,,,,,,,,,
TRIGGER WARNING, by Neil Gaiman, Morrow/HarperCollins,3/8/15,,,,,,,,,,,,,,,,,,,,,,,,,
PRIVATE VEGAS, by James Patterson and Maxine Paetro, Little Brown,3/8/15,,,,,,,,,,,,,,,,,,,,,,,,,
MOTIVE, by Jonathan Kellerman, Ballantine,3/8/15,,,,,,,,,,,,,,,,,,,,,,,,,
GRAY MOUNTAIN, by John Grisham, Doubleday,3/8/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE BOSTON GIRL, by Anita Diamant, Scribner,3/8/15,,,,,,,,,,,,,,,,,,,,,,,,,
TWELVE DAYS, by Alex Berenson, Putnam,3/8/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE ESCAPE, by David Baldacci, Grand Central,3/8/15,,,,,,,,,,,,,,,,,,,,,,,,,
CRASH AND BURN, by Lisa Gardner, Dutton,3/8/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE GIRL ON THE TRAIN, by Paula Hawkins, Riverhead,3/15/15,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,3/15/15,,,,,,,,,,,,,,,,,,,,,,,,,
MIGHTIER THAN THE SWORD, by Jeffrey Archer, St Martin's,3/15/15,,,,,,,,,,,,,,,,,,,,,,,,,
PRODIGAL SON, by Danielle Steel, Delacorte,3/15/15,,,,,,,,,,,,,,,,,,,,,,,,,
A SPOOL OF BLUE THREAD, by Anne Tyler, Knopf,3/15/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE NIGHTINGALE, by Kristin Hannah, St Martin's,3/15/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE WHITES, by Richard Price writing as Harry Brandt, Holt,3/15/15,,,,,,,,,,,,,,,,,,,,,,,,,
GRAY MOUNTAIN, by John Grisham, Doubleday,3/15/15,,,,,,,,,,,,,,,,,,,,,,,,,
TRIGGER WARNING, by Neil Gaiman, Morrow/HarperCollins,3/15/15,,,,,,,,,,,,,,,,,,,,,,,,,
OBSESSION IN DEATH, by J D Robb, Putnam,3/15/15,,,,,,,,,,,,,,,,,,,,,,,,,
PRIVATE VEGAS, by James Patterson and Maxine Paetro, Little Brown,3/15/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE ACCIDENTAL EMPRESS, by Allison Pataki, Howard Books,3/15/15,,,,,,,,,,,,,,,,,,,,,,,,,
DOUBLE FUDGE BROWNIE MURDER, by Joanne Fluke, Kensington,3/15/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE BOSTON GIRL, by Anita Diamant, Scribner,3/15/15,,,,,,,,,,,,,,,,,,,,,,,,,
HUSH HUSH, by Laura Lippman, Morrow/HarperCollins,3/15/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE GIRL ON THE TRAIN, by Paula Hawkins, Riverhead,3/22/15,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,3/22/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE BURIED GIANT, by Kazuo Ishiguro, Knopf,3/22/15,,,,,,,,,,,,,,,,,,,,,,,,,
A SPOOL OF BLUE THREAD, by Anne Tyler, Knopf,3/22/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE ASSASSIN, by Clive Cussler and Justin Scott, Putnam,3/22/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE NIGHTINGALE, by Kristin Hannah, St Martin's,3/22/15,,,,,,,,,,,,,,,,,,,,,,,,,
PRODIGAL SON, by Danielle Steel, Delacorte,3/22/15,,,,,,,,,,,,,,,,,,,,,,,,,
DEAD HEAT, by Patricia Briggs, Ace,3/22/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE WHITES, by Richard Price writing as Harry Brandt, Holt,3/22/15,,,,,,,,,,,,,,,,,,,,,,,,,
MIGHTIER THAN THE SWORD, by Jeffrey Archer, St Martin's,3/22/15,,,,,,,,,,,,,,,,,,,,,,,,,
LEAVING BERLIN, by Joseph Kanon, Atria,3/22/15,,,,,,,,,,,,,,,,,,,,,,,,,
GRAY MOUNTAIN, by John Grisham, Doubleday,3/22/15,,,,,,,,,,,,,,,,,,,,,,,,,
TRIGGER WARNING, by Neil Gaiman, Morrow/HarperCollins,3/22/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE FIFTH GOSPEL, by Ian Caldwell, Simon & Schuster,3/22/15,,,,,,,,,,,,,,,,,,,,,,,,,
PRIVATE VEGAS, by James Patterson and Maxine Paetro, Little Brown,3/22/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE GIRL ON THE TRAIN, by Paula Hawkins, Riverhead,3/29/15,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,3/29/15,,,,,,,,,,,,,,,,,,,,,,,,,
ENDANGERED, by C J Box, Putnam,3/29/15,,,,,,,,,,,,,,,,,,,,,,,,,
A SPOOL OF BLUE THREAD, by Anne Tyler, Knopf,3/29/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE BURIED GIANT, by Kazuo Ishiguro, Knopf,3/29/15,,,,,,,,,,,,,,,,,,,,,,,,,
LAST ONE HOME, by Debbie Macomber, Ballantine,3/29/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE NIGHTINGALE, by Kristin Hannah, St Martin's,3/29/15,,,,,,,,,,,,,,,,,,,,,,,,,
WORLD GONE, BY, by Dennis Lehane,3/29/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE ASSASSIN, by Clive Cussler and Justin Scott, Putnam,3/29/15,,,,,,,,,,,,,,,,,,,,,,,,,
PRODIGAL SON, by Danielle Steel, Delacorte,3/29/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE FIFTH GOSPEL, by Ian Caldwell, Simon & Schuster,3/29/15,,,,,,,,,,,,,,,,,,,,,,,,,
MIGHTIER THAN THE SWORD, by Jeffrey Archer, St Martin's,3/29/15,,,,,,,,,,,,,,,,,,,,,,,,,
COLD BETRAYAL, by J A Jance, Touchstone,3/29/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE WHITES, by Richard Price writing as Harry Brandt, Holt,3/29/15,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE OLD KNIVES, by Olen Steinhauer, Minotaur,3/29/15,,,,,,,,,,,,,,,,,,,,,,,,,
DEAD HEAT, by Patricia Briggs, Ace,3/29/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE GIRL ON THE TRAIN, by Paula Hawkins, Riverhead,4/5/15,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,4/5/15,,,,,,,,,,,,,,,,,,,,,,,,,
NYPD RED 3, by James Patterson and Marshall Karp, Little Brown,4/5/15,,,,,,,,,,,,,,,,,,,,,,,,,
A DANGEROUS PLACE, by Jacqueline Winspear, Harper,4/5/15,,,,,,,,,,,,,,,,,,,,,,,,,
A SPOOL OF BLUE THREAD, by Anne Tyler, Knopf,4/5/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE BURIED GIANT, by Kazuo Ishiguro, Knopf,4/5/15,,,,,,,,,,,,,,,,,,,,,,,,,
ENDANGERED, by C J Box, Putnam,4/5/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE NIGHTINGALE, by Kristin Hannah, St Martin's,4/5/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE ASSASSIN, by Clive Cussler and Justin Scott, Putnam,4/5/15,,,,,,,,,,,,,,,,,,,,,,,,,
LAST ONE HOME, by Debbie Macomber, Ballantine,4/5/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE FIFTH GOSPEL, by Ian Caldwell, Simon & Schuster,4/5/15,,,,,,,,,,,,,,,,,,,,,,,,,
WORLD GONE, BY, by Dennis Lehane,4/5/15,,,,,,,,,,,,,,,,,,,,,,,,,
PRODIGAL SON, by Danielle Steel, Delacorte,4/5/15,,,,,,,,,,,,,,,,,,,,,,,,,
MIGHTIER THAN THE SWORD, by Jeffrey Archer, St Martin's,4/5/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE WHITES, by Richard Price writing as Harry Brandt, Holt,4/5/15,,,,,,,,,,,,,,,,,,,,,,,,,
HAUSFRAU, by Jill Alexander Essbaum, Random House,4/5/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE GIRL ON THE TRAIN, by Paula Hawkins, Riverhead,4/12/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE STRANGER, by Harlan Coben, Dutton,4/12/15,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,4/12/15,,,,,,,,,,,,,,,,,,,,,,,,,
NYPD RED 3, by James Patterson and Marshall Karp, Little Brown,4/12/15,,,,,,,,,,,,,,,,,,,,,,,,,
A SPOOL OF BLUE THREAD, by Anne Tyler, Knopf,4/12/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE NIGHTINGALE, by Kristin Hannah, St Martin's,4/12/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE BURIED GIANT, by Kazuo Ishiguro, Knopf,4/12/15,,,,,,,,,,,,,,,,,,,,,,,,,
CUBA STRAITS, by Randy Wayne White, Putnam,4/12/15,,,,,,,,,,,,,,,,,,,,,,,,,
ENDANGERED, by C J Box, Putnam,4/12/15,,,,,,,,,,,,,,,,,,,,,,,,,
A DANGEROUS PLACE, by Jacqueline Winspear, Harper,4/12/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE FIFTH GOSPEL, by Ian Caldwell, Simon & Schuster,4/12/15,,,,,,,,,,,,,,,,,,,,,,,,,
LEAVING BERLIN, by Joseph Kanon, Atria,4/12/15,,,,,,,,,,,,,,,,,,,,,,,,,
WORLD GONE, BY, by Dennis Lehane,4/12/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE ASSASSIN, by Clive Cussler and Justin Scott, Putnam,4/12/15,,,,,,,,,,,,,,,,,,,,,,,,,
LAST ONE HOME, by Debbie Macomber, Ballantine,4/12/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE GIRL ON THE TRAIN, by Paula Hawkins, Riverhead,4/19/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE SHADOWS, by J R Ward, New American Library,4/19/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE STRANGER, by Harlan Coben, Dutton,4/19/15,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,4/19/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE PATRIOT THREAT, by Steve Berry, Minotaur,4/19/15,,,,,,,,,,,,,,,,,,,,,,,,,
AT THE WATER'S EDGE, by Sara Gruen, Spiegel & Grau,4/19/15,,,,,,,,,,,,,,,,,,,,,,,,,
A SPOOL OF BLUE THREAD, by Anne Tyler, Knopf,4/19/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE NIGHTINGALE, by Kristin Hannah, St Martin's,4/19/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE BURIED GIANT, by Kazuo Ishiguro, Knopf,4/19/15,,,,,,,,,,,,,,,,,,,,,,,,,
NYPD RED 3, by James Patterson and Marshall Karp, Little Brown,4/19/15,,,,,,,,,,,,,,,,,,,,,,,,,
CUBA STRAITS, by Randy Wayne White, Putnam,4/19/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE FIFTH GOSPEL, by Ian Caldwell, Simon & Schuster,4/19/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE HARDER THEY COME, by T Coraghessan Boyle, Ecco/HarperCollins,4/19/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE SKULL THRONE, by Peter V Brett, Del Rey,4/19/15,,,,,,,,,,,,,,,,,,,,,,,,,
ENDANGERED, by C J Box, Putnam,4/19/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE GIRL ON THE TRAIN, by Paula Hawkins, Riverhead,4/26/15,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,4/26/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE STRANGER, by Harlan Coben, Dutton,4/26/15,,,,,,,,,,,,,,,,,,,,,,,,,
HOT PURSUIT, by Stuart Woods, Putnam,4/26/15,,,,,,,,,,,,,,,,,,,,,,,,,
FALLING IN LOVE, by Donna Leon, Atlantic Monthly,4/26/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE NIGHTINGALE, by Kristin Hannah, St Martin's,4/26/15,,,,,,,,,,,,,,,,,,,,,,,,,
AT THE WATER'S EDGE, by Sara Gruen, Spiegel & Grau,4/26/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE PATRIOT THREAT, by Steve Berry, Minotaur,4/26/15,,,,,,,,,,,,,,,,,,,,,,,,,
BLOOD ON SNOW, by Jo Nesbo, Knopf,4/26/15,,,,,,,,,,,,,,,,,,,,,,,,,
MIRACLE AT AUGUSTA, by James Patterson and Peter De Jonge, Little Brown,4/26/15,,,,,,,,,,,,,,,,,,,,,,,,,
A SPOOL OF BLUE THREAD, by Anne Tyler, Knopf,4/26/15,,,,,,,,,,,,,,,,,,,,,,,,,
INSIDE THE O'BRIENS, by Lisa Genova, Gallery Books,4/26/15,,,,,,,,,,,,,,,,,,,,,,,,,
NYPD RED 3, by James Patterson and Marshall Karp, Little Brown,4/26/15,,,,,,,,,,,,,,,,,,,,,,,,,
CHASING SUNSETS, by Karen Kingsbury, Howard Books,4/26/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE LADY FROM ZAGREB, by Philip Kerr, Marian Wood/Putnam,4/26/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE BURIED GIANT, by Kazuo Ishiguro, Knopf,4/26/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE GIRL ON THE TRAIN, by Paula Hawkins, Riverhead,5/3/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE LIAR, by Nora Roberts, Putnam,5/3/15,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,5/3/15,,,,,,,,,,,,,,,,,,,,,,,,,
EVERY FIFTEEN MINUTES, by Lisa Scottoline, St Martin's,5/3/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE STRANGER, by Harlan Coben, Dutton,5/3/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE NIGHTINGALE, by Kristin Hannah, St Martin's,5/3/15,,,,,,,,,,,,,,,,,,,,,,,,,
MIRACLE AT AUGUSTA, by James Patterson and Peter De Jonge, Little Brown,5/3/15,,,,,,,,,,,,,,,,,,,,,,,,,
AT THE WATER'S EDGE, by Sara Gruen, Spiegel & Grau,5/3/15,,,,,,,,,,,,,,,,,,,,,,,,,
A SPOOL OF BLUE THREAD, by Anne Tyler, Knopf,5/3/15,,,,,,,,,,,,,,,,,,,,,,,,,
HOT PURSUIT, by Stuart Woods, Putnam,5/3/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE PATRIOT THREAT, by Steve Berry, Minotaur,5/3/15,,,,,,,,,,,,,,,,,,,,,,,,,
NYPD RED 3, by James Patterson and Marshall Karp, Little Brown,5/3/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE DREAM LOVER, by Elizabeth Berg, Random House,5/3/15,,,,,,,,,,,,,,,,,,,,,,,,,
BLOOD ON SNOW, by Jo Nesbo, Knopf,5/3/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE FIFTH GOSPEL, by Ian Caldwell, Simon & Schuster,5/3/15,,,,,,,,,,,,,,,,,,,,,,,,,
INSIDE THE O'BRIENS, by Lisa Genova, Gallery Books,5/3/15,,,,,,,,,,,,,,,,,,,,,,,,,
MEMORY MAN, by David Baldacci, Grand Central,5/10/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE GIRL ON THE TRAIN, by Paula Hawkins, Riverhead,5/10/15,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,5/10/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE BONE TREE, by Greg Iles, Morrow/HarperCollins,5/10/15,,,,,,,,,,,,,,,,,,,,,,,,,
GOD HELP THE CHILD, by Toni Morrison, Knopf,5/10/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE LIAR, by Nora Roberts, Putnam,5/10/15,,,,,,,,,,,,,,,,,,,,,,,,,
EVERY FIFTEEN MINUTES, by Lisa Scottoline, St Martin's,5/10/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE STRANGER, by Harlan Coben, Dutton,5/10/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE NIGHTINGALE, by Kristin Hannah, St Martin's,5/10/15,,,,,,,,,,,,,,,,,,,,,,,,,
AT THE WATER'S EDGE, by Sara Gruen, Spiegel & Grau,5/10/15,,,,,,,,,,,,,,,,,,,,,,,,,
GARDEN OF LIES, by Amanda Quick, Putnam,5/10/15,,,,,,,,,,,,,,,,,,,,,,,,,
BEAUTY'S KINGDOM, by AN Roquelaure, Viking,5/10/15,,,,,,,,,,,,,,,,,,,,,,,,,
A SPOOL OF BLUE THREAD, by Anne Tyler, Knopf,5/10/15,,,,,,,,,,,,,,,,,,,,,,,,,
MIRACLE AT AUGUSTA, by James Patterson and Peter De Jonge, Little Brown,5/10/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE PATRIOT THREAT, by Steve Berry, Minotaur,5/10/15,,,,,,,,,,,,,,,,,,,,,,,,,
GATHERING PREY, by John Sandford, Putnam,5/17/15,,,,,,,,,,,,,,,,,,,,,,,,,
MEMORY MAN, by David Baldacci, Grand Central,5/17/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE GIRL ON THE TRAIN, by Paula Hawkins, Riverhead,5/17/15,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,5/17/15,,,,,,,,,,,,,,,,,,,,,,,,,
GOD HELP THE CHILD, by Toni Morrison, Knopf,5/17/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE BONE TREE, by Greg Iles, Morrow/HarperCollins,5/17/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE LIAR, by Nora Roberts, Putnam,5/17/15,,,,,,,,,,,,,,,,,,,,,,,,,
AT THE WATER'S EDGE, by Sara Gruen, Spiegel & Grau,5/17/15,,,,,,,,,,,,,,,,,,,,,,,,,
THE NIGHTINGALE, by Kristin Hannah, St Martin's,5/17/15,,,,,,,,,,,,,,,,,,,,,,,,,
EARLY WARNING, by Jane Smiley, Knopf,5/17/15,,,,,,,,,,,,,,,,,,,,,,,,,
