Title,Author,Publisher,Week on besteller list,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,8/17/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE SILKWORM, by Robert Galbraith, Mulholland/Little Brown,8/17/14,,,,,,, ,,,,,,,,,,,,,,,,,,
INVISIBLE, by James Patterson and David Ellis, Little Brown,8/17/14,,,,,,,,,,,,,,,,,,,,,,,,,
MR MERCEDES, by Stephen King, Scribner,8/17/14,,,,,,,,,,,,,,,,,,,,,,,,,
MAGIC BREAKS, by Ilona Andrews, Ace,8/17/14,,,,,,,,,,,,,,,,,,,,,,,,,
TOP SECRET TWENTY-ONE, by Janet Evanovich, Bantam,8/17/14,,,,,,,,,,,,,,,,,,,,,,,,,
WRITTEN IN MY OWN HEART'S BLOOD, by Diana Gabaldon, Delacorte,8/17/14,,,,,,,,,,,,,,,,,,,,,,,,,
LUCKY US, by Amy Bloom, Random House,8/17/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE MAGICIAN'S LAND, by Lev Grossman, Viking,8/24/14,,,,,,,,,,,,,,,,,,,,,,,,,
BIG LITTLE LIES, by Liane Moriarty, Amy Einhorn/Putnam,8/24/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE LOST ISLAND, by Douglas Preston and Lincoln Child, Grand Central,8/24/14,,,,,,,,,,,,,,,,,,,,,,,,,
SEVERED SOULS, by Terry Goodkind, Tor/Tom Doherty,8/24/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE GOLDFINCH, by Donna Tartt, Little Brown,8/24/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE HEIST, by Daniel Silva, Harper,8/24/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE BOOK OF LIFE, by Deborah Harkness, Viking,8/24/14,,,,,,,,,,,,,,,,,,,,,,,,,
TOM CLANCY: SUPPORT AND DEFEND, by Mark Greaney, Putnam,8/24/14,,,,,,,,,,,,,,,,,,,,,,,,,
ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr, Scribner,8/24/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE SILKWORM, by Robert Galbraith, Mulholland/Little Brown,8/24/14,,,,,,,,,,,,,,,,,,,,,,,,,
A PERFECT LIFE, by Danielle Steel, Delacorte,8/24/14,,,,,,,,,,,,,,,,,,,,,,,,,
INVISIBLE, by James Patterson and David Ellis, Little Brown,8/24/14,,,,,,,,,,,,,,,,,,,,,,,,,
ACT OF WAR, by Brad Thor, Emily Bestler/Atria,8/24/14,,,,,,,,,,,,,,,,,,,,,,,,,
TOP SECRET, by W E B Griffin and William E Butterworth IV, Putnam,8/24/14,,,,,,,,,,,,,,,,,,,,,,,,,
MR MERCEDES, by Stephen King, Scribner,8/24/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE HUSBAND'S SECRET, by Liane Moriarty, Amy Einhorn/Putnam,8/24/14,,,,,,,,,,,,,,,,,,,,,,,,,
COLORLESS TSUKURU TAZAKI AND HIS YEARS OF PILGRIMAGE, by Haruki Murakami, Knopf,8/31/14,,,,,,,,,,,,,,,,,,,,,,,,,
LOVE LETTERS, by Debbie Macomber, Ballantine,8/31/14,,,,,,,,,,,,,,,,,,,,,,,,,
THE 6TH EXTINCTION, by James Rollins, Morrow/HarperCollins,8/31/14,,,,,,,,,,,,,,,,,,,,,,,,,
BIG LITTLE LIES, by Liane Moriarty, Amy Einhorn/Putnam,8/31/14,,,,,,,,,,,,,,,,,,,,,,,,,
