TITLE,OCCURANCE
 MEAN STREAK,3
 WE ARE NOT OURSELVES,3
 THE EYE OF HEAVEN,3
 FESTIVE IN DEATH,3
 HAVANA STORM,3
 THE HANDSOME MAN'S DE LUXE CAF•À__,3
 BLUE L,3
 COLD COLD HEART,3
 THE FIRST BAD MAN,3
 FIRST FROST,3
 CRASH AND BURN,3
 OBSESSION IN DEATH,3
 LAST ONE HOME,3
 WORLD GONE,3
 MIRACLE AT AUGUSTA,3
 THE FORGOTTEN ROOM,3
 BEACH TOWN,3
 PIRANHA,3
 THE FATEFUL LIGHTNING,3
 ALL THE SINGLE LADIES,3
 COUNTRY,3
 THE MELODY LINGERS ON,3
 NEMESIS,3
 GO SET A WATCHMAN,3
 ARMADA,3
 THE VACATIONERS,2
 ONE PLUS ONE,2
 POWER PLAY,2
 CALIFORNIA,2
 CUT AND THRUST,2
 WAYFARING STRANGER,2
 THE MAGICIAN'S LAND,2
 LOVE LETTERS,2
 THE LONG WAY HOME,2
 THE MONOGRAM MURDERS,2
 WOLF IN WHITE VAN,2
 BONES NEVER LIE,2
 NORA WEBSTER,2
 WINTER STREET,2
 BEAUTIFUL YOU,2
 PEGASUS,2
 THE JOB,2
 THE EMPTY THRONE,2
 FUNNY GIRL,2
 MOTIVE,2
 TWELVE DAYS,2
 THE ACCIDENTAL EMPRESS,2
 DEAD HEAT,2
 LEAVING BERLIN,2
 A DANGEROUS PLACE,2
 CUBA STRAITS,2
 HOT PURSUIT,2
 BLOOD ON SNOW,2
 INSIDE THE O'BRIENS,2
 DEATH WEARS A BEAUTY MASK AND OTHER STORIES,2
 A GOD IN RUINS,2
 DRY BONES,2
 WICKED CHARMS,2
 NAKED GREED,2
 THE CARTEL,2
 SPEAKING IN BONES,2
 THE CITY,1
 WILLIAM SHAKESPEARE'S THE JEDI DOTH RETURN,1
 THE HURRICANE SISTERS,1
 THE MATCHMAKER,1
 THE CARE AND MANAGEMENT OF LIES,1
 LANDLINE,1
 THE GIRLS OF AUGUST,1
 THE HIGH DRUID'S BLADE,1
 SHOTS FIRED,1
 REMAINS OF INNOCENCE,1
 FAST TRACK,1
 MAGIC BREAKS,1
 LUCKY US,1
 SEVERED SOULS,1
 TOP SECRET,1
 FOOL'S ASSASSIN,1
 WINDIGO ISLAND,1
 THE BROKEN EYE,1
 HEROES ARE MY WEAKNESS,1
 DARK BLOOD,1
 SON OF NO ONE,1
 THE WITCH WITH NO NAME,1
 THE KING'S CURSE,1
 ROBERT B PARKER'S BLIND SPOT,1
 PERFIDIA,1
 RAGING HEAT,1
 THE GOLEM OF HOLLYWOOD,1
 TO DWELL IN DARKNESS,1
 THE LOST KEY,1
 A SUDDEN LIGHT,1
 PARIS MATCH,1
 THE ASSASSINATION OF MARGARET THATCHER,1
 THE NARROW ROAD TO THE DEEP NORTH,1
 MR MIRACLE,1
 BLUE HORSES,1
 DESERT GOD,1
 SHOPAHOLIC TO THE STARS,1
 WAIT FOR SIGNS,1
 THE PERIPHERAL,1
 LET ME BE FRANK WITH YOU,1
 BETRAYED,1
 BLUE LABYRINTH,1
 DIE AGAIN,1
 THE ASSASSINATION OPTION,1
 RAIN ON THE DEAD,1
 NO FORTUNATE SON,1
 THE ROSIE EFFECT,1
 AS CHIMNEY SWEEPERS COME TO DUST,1
 GOLDEN SON,1
 TRUST NO ONE,1
 THE THIRD TARGET,1
 BURNED,1
 THE MIME ORDER,1
 DESCENT,1
 BLOOD INFERNAL,1
 HOLY COW,1
 DREAMING SPIES,1
 DOUBLE FUDGE BROWNIE MURDER,1
 HUSH HUSH,1
 COLD BETRAYAL,1
 ALL THE OLD KNIVES,1
 HAUSFRAU,1
 THE SHADOWS,1
 THE HARDER THEY COME,1
 THE SKULL THRONE,1
 FALLING IN LOVE,1
 CHASING SUNSETS,1
 THE LADY FROM ZAGREB,1
 THE DREAM LOVER,1
 GARDEN OF LIES,1
 BEAUTY'S KINGDOM,1
 EARLY WARNING,1
 MY STRUGGLE: BOOK FOUR,1
 ROCK WITH WINGS,1
 DAY SHIFT,1
 SOLITUDE CREEK,1
 THE SCARLET GOSPELS,1
 ROBERT B PARKER'S KICKBACK,1
 MAKE SOMETHING UP,1
 THE WATER KNIFE,1
 PALACE OF TREASON,1
 DEAD ICE,1
 THE FIXER,1
 CIRCLING THE SUN,1
 BADLANDS,1
 THE BOURBON KINGS,1
